"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    14590.10","    14621.65","    14543.40","    14574.20","       65150366","         3274.21"
"02-Jan-2020","    14578.15","    14707.60","    14572.90","    14697.50","       91010933","         4816.90"
"03-Jan-2020","    14644.60","    14656.75","    14510.85","    14560.70","      105051074","         5820.09"
"06-Jan-2020","    14472.80","    14493.15","    14161.85","    14202.50","      120943293","         7048.64"
"07-Jan-2020","    14346.55","    14467.50","    14226.00","    14314.75","      142841913","         8091.19"
"08-Jan-2020","    14134.85","    14321.40","    14117.15","    14306.65","      120211251","         6751.71"
"09-Jan-2020","    14461.15","    14604.40","    14427.25","    14590.10","      129535970","         7262.23"
"10-Jan-2020","    14642.80","    14693.70","    14544.95","    14609.65","      124949923","         6368.80"
"13-Jan-2020","    14630.90","    14701.60","    14604.00","    14635.05","       87092501","         4870.51"
"14-Jan-2020","    14644.35","    14685.80","    14568.65","    14667.20","       91112826","         5355.23"
"15-Jan-2020","    14637.55","    14655.70","    14528.30","    14636.05","      105945952","         5837.54"
"16-Jan-2020","    14625.05","    14697.90","    14586.75","    14655.35","       84332728","         4929.70"
"17-Jan-2020","    14582.50","    14636.80","    14541.30","    14561.80","      124311288","         6951.66"
"20-Jan-2020","    14686.70","    14686.70","    14346.75","    14359.65","      125785753","         7774.29"
"21-Jan-2020","    14308.25","    14385.70","    14248.30","    14305.70","      116861155","         6701.25"
"22-Jan-2020","    14358.70","    14396.20","    14152.85","    14178.50","      155739831","         7787.38"
"23-Jan-2020","    14196.85","    14314.70","    14145.80","    14288.45","      229307361","         8674.99"
"24-Jan-2020","    14293.40","    14450.70","    14229.45","    14420.40","      124151181","         6657.80"
"27-Jan-2020","    14355.15","    14400.10","    14213.05","    14234.70","      139653597","         7655.91"
"28-Jan-2020","    14278.65","    14394.35","    14227.85","    14273.10","      125482695","         7590.13"
"29-Jan-2020","    14340.85","    14409.80","    14308.00","    14346.80","      123527676","         8417.45"
"30-Jan-2020","    14382.95","    14388.35","    14247.95","    14289.95","      112416431","         7246.82"
"31-Jan-2020","    14389.20","    14413.55","    14270.25","    14316.90","      180552208","         9775.49"
"01-Feb-2020","    14272.30","    14378.65","    13724.75","    13758.85","      154966620","         9020.70"
"03-Feb-2020","    13719.65","    13877.30","    13647.60","    13822.30","      180774638","         9723.42"
"04-Feb-2020","    13908.00","    14241.60","    13902.85","    14218.80","      167458450","         9686.74"
"05-Feb-2020","    14245.40","    14420.75","    14178.30","    14407.80","      161147873","         8454.65"
"06-Feb-2020","    14427.30","    14596.65","    14373.25","    14545.75","      247942092","        11555.50"
"07-Feb-2020","    14551.70","    14558.50","    14466.40","    14502.40","      130194129","         6450.91"
"10-Feb-2020","    14514.75","    14520.85","    14414.25","    14496.75","       99115945","         5207.05"
"11-Feb-2020","    14564.10","    14676.30","    14562.50","    14589.55","      147951634","         7439.98"
"12-Feb-2020","    14668.80","    14747.70","    14632.55","    14685.40","      166566408","         8097.02"
"13-Feb-2020","    14698.10","    14713.70","    14539.40","    14578.85","      137552984","         6628.04"
"14-Feb-2020","    14596.15","    14672.80","    14434.00","    14477.45","      127052977","         6573.83"
"17-Feb-2020","    14491.00","    14527.50","    14350.20","    14370.25","       95723762","         4959.96"
"18-Feb-2020","    14356.30","    14367.35","    14214.05","    14315.70","      108150402","         5750.03"
